"package","time","milli.time"
"baRcodeR",20224215140,20224.21514
"baRcodeR",20209251575,20209.251575
"baRcodeR",20204526407,20204.526407
"baRcodeR",20174054469,20174.054469
"qrlabelr",326304404,326.304404
"baRcodeR",20719773202,20719.773202
"baRcodeR",20223732939,20223.732939
"baRcodeR",20194016262,20194.016262
"baRcodeR",20194871153,20194.871153
"baRcodeR",20183063317,20183.063317
"qrlabelr",279858497,279.858497
"baRcodeR",20272781444,20272.781444
"baRcodeR",20185573952,20185.573952
"baRcodeR",20237385693,20237.385693
"qrlabelr",282689957,282.689957
"baRcodeR",20192839480,20192.83948
"qrlabelr",280408102,280.408102
"baRcodeR",20289483819,20289.483819
"baRcodeR",20182765985,20182.765985
"qrlabelr",278049782,278.049782
"qrlabelr",274084631,274.084631
"qrlabelr",278387376,278.387376
"baRcodeR",20059980456,20059.980456
"qrlabelr",277783856,277.783856
"baRcodeR",20022912151,20022.912151
"qrlabelr",275602205,275.602205
"baRcodeR",20180171710,20180.17171
"baRcodeR",20255375673,20255.375673
"qrlabelr",276116919,276.116919
"baRcodeR",20041448374,20041.448374
"baRcodeR",20003542111,20003.542111
"qrlabelr",275715160,275.71516
"qrlabelr",274807215,274.807215
"qrlabelr",272389158,272.389158
"qrlabelr",274574294,274.574294
"baRcodeR",20082906139,20082.906139
"qrlabelr",275823236,275.823236
"qrlabelr",278092381,278.092381
"qrlabelr",273587793,273.587793
"qrlabelr",273511820,273.51182
"qrlabelr",273929774,273.929774
"qrlabelr",274555885,274.555885
"qrlabelr",272931096,272.931096
"qrlabelr",274206483,274.206483
"qrlabelr",272805062,272.805062
"baRcodeR",20096915839,20096.915839
"qrlabelr",276462795,276.462795
"qrlabelr",276198140,276.19814
"baRcodeR",20264039014,20264.039014
"qrlabelr",275622951,275.622951
"baRcodeR",20043676601,20043.676601
"baRcodeR",19996660302,19996.660302
"qrlabelr",275891911,275.891911
"qrlabelr",273062460,273.06246
"qrlabelr",274290041,274.290041
"baRcodeR",20018072552,20018.072552
"baRcodeR",19915463205,19915.463205
"baRcodeR",19987694381,19987.694381
"qrlabelr",277256883,277.256883
"qrlabelr",275112665,275.112665
"qrlabelr",273268936,273.268936
"baRcodeR",19970854369,19970.854369
"qrlabelr",278259948,278.259948
"qrlabelr",274174708,274.174708
"baRcodeR",20027994880,20027.99488
"baRcodeR",19999911028,19999.911028
"baRcodeR",19993012286,19993.012286
"baRcodeR",20108744585,20108.744585
"qrlabelr",279004631,279.004631
"qrlabelr",275065105,275.065105
"baRcodeR",20029154483,20029.154483
"qrlabelr",276251768,276.251768
"baRcodeR",19999736532,19999.736532
"qrlabelr",277220762,277.220762
"qrlabelr",274262612,274.262612
"qrlabelr",275190319,275.190319
"baRcodeR",20007888357,20007.888357
"baRcodeR",19999656377,19999.656377
"baRcodeR",20201390153,20201.390153
"baRcodeR",20871485338,20871.485338
"baRcodeR",20759669769,20759.669769
"baRcodeR",20294014442,20294.014442
"baRcodeR",20803842431,20803.842431
"qrlabelr",278769209,278.769209
"qrlabelr",278204475,278.204475
"qrlabelr",277888570,277.88857
"qrlabelr",275729879,275.729879
"qrlabelr",277856262,277.856262
"qrlabelr",275894043,275.894043
"baRcodeR",20207428100,20207.4281
"qrlabelr",279343004,279.343004
"qrlabelr",277137081,277.137081
"qrlabelr",274913323,274.913323
"baRcodeR",21000867439,21000.867439
"baRcodeR",21214797444,21214.797444
"baRcodeR",20729107221,20729.107221
"baRcodeR",20346775128,20346.775128
"qrlabelr",277109078,277.109078
"baRcodeR",20168663666,20168.663666
"qrlabelr",278354945,278.354945
"baRcodeR",20176667481,20176.667481
"qrlabelr",281329618,281.329618
"baRcodeR",20157680668,20157.680668
"baRcodeR",20184467608,20184.467608
"baRcodeR",20154188083,20154.188083
"qrlabelr",276880380,276.88038
"qrlabelr",276419950,276.41995
"baRcodeR",20175609107,20175.609107
"baRcodeR",20164895766,20164.895766
"qrlabelr",277457168,277.457168
"qrlabelr",277401449,277.401449
"qrlabelr",274259660,274.25966
"qrlabelr",279844516,279.844516
"qrlabelr",274488276,274.488276
"qrlabelr",278685815,278.685815
"qrlabelr",277917311,277.917311
"qrlabelr",275042596,275.042596
"baRcodeR",20328273099,20328.273099
"baRcodeR",20211654708,20211.654708
"baRcodeR",20134025554,20134.025554
"baRcodeR",20243840528,20243.840528
"qrlabelr",282260769,282.260769
"baRcodeR",20198400638,20198.400638
"qrlabelr",279643657,279.643657
"qrlabelr",277612804,277.612804
"qrlabelr",283335748,283.335748
"baRcodeR",20351819317,20351.819317
"baRcodeR",20541799049,20541.799049
"baRcodeR",20305306375,20305.306375
"baRcodeR",20440805553,20440.805553
"qrlabelr",276178788,276.178788
"baRcodeR",20257048596,20257.048596
"baRcodeR",20044555518,20044.555518
"qrlabelr",277048890,277.04889
"qrlabelr",275428611,275.428611
"qrlabelr",273256103,273.256103
"baRcodeR",20057053589,20057.053589
"qrlabelr",277648925,277.648925
"baRcodeR",20077566545,20077.566545
"baRcodeR",20073406357,20073.406357
"baRcodeR",20033972311,20033.972311
"baRcodeR",20040970191,20040.970191
"baRcodeR",19998758067,19998.758067
"qrlabelr",276175016,276.175016
"baRcodeR",20072340111,20072.340111
"qrlabelr",278374953,278.374953
"baRcodeR",20048292176,20048.292176
"qrlabelr",276388995,276.388995
"baRcodeR",20035217522,20035.217522
"baRcodeR",20217108528,20217.108528
"baRcodeR",20189910973,20189.910973
"qrlabelr",278899589,278.899589
"baRcodeR",20024656947,20024.656947
"qrlabelr",276742210,276.74221
"baRcodeR",20134888194,20134.888194
"qrlabelr",277194768,277.194768
"baRcodeR",20017682027,20017.682027
"baRcodeR",20004229476,20004.229476
"baRcodeR",20012795319,20012.795319
"baRcodeR",20047208505,20047.208505
"baRcodeR",19933453226,19933.453226
"qrlabelr",359759543,359.759543
"qrlabelr",274515336,274.515336
"baRcodeR",19937329366,19937.329366
"baRcodeR",19997377802,19997.377802
"baRcodeR",19990633507,19990.633507
"baRcodeR",19969590503,19969.590503
"qrlabelr",278994176,278.994176
"qrlabelr",275510816,275.510816
"baRcodeR",19996369448,19996.369448
"baRcodeR",19971536527,19971.536527
"qrlabelr",275930328,275.930328
"qrlabelr",274863959,274.863959
"qrlabelr",276370176,276.370176
"qrlabelr",273315348,273.315348
"baRcodeR",20089730056,20089.730056
"baRcodeR",20123778137,20123.778137
"qrlabelr",276896411,276.896411
"qrlabelr",274442602,274.442602
"baRcodeR",19982174838,19982.174838
"baRcodeR",19976655500,19976.6555
"qrlabelr",278645758,278.645758
"baRcodeR",20016338252,20016.338252
"qrlabelr",274946410,274.94641
"qrlabelr",275044277,275.044277
"qrlabelr",279906672,279.906672
"qrlabelr",275829550,275.82955
"qrlabelr",275443494,275.443494
"qrlabelr",273416290,273.41629
"baRcodeR",20017668825,20017.668825
"baRcodeR",20015489101,20015.489101
"qrlabelr",274194101,274.194101
"qrlabelr",274679869,274.679869
"qrlabelr",274159292,274.159292
"baRcodeR",20096491448,20096.491448
"baRcodeR",19990500667,19990.500667
"baRcodeR",19986279553,19986.279553
"qrlabelr",276441598,276.441598
"qrlabelr",272266199,272.266199
"qrlabelr",274009109,274.009109
